DISTCD,STATNAME,LIT
2701,MAHARASHTRA,63.04
2702,MAHARASHTRA,74.61
2703,MAHARASHTRA,79.73
2704,MAHARASHTRA,82.09
2705,MAHARASHTRA,87.55
2706,MAHARASHTRA,81.7
2707,MAHARASHTRA,88.23
2708,MAHARASHTRA,87.22
2709,MAHARASHTRA,89.52
2710,MAHARASHTRA,85.14
2711,MAHARASHTRA,85.41
2712,MAHARASHTRA,70.55
2713,MAHARASHTRA,81.35
2701,ANDHRA PRADESH,62.3
2702,ANDHRA PRADESH,59.49
2703,ANDHRA PRADESH,67.7
2704,ANDHRA PRADESH,71.35
2705,ANDHRA PRADESH,74.32
2706,ANDHRA PRADESH,74.37
2707,ANDHRA PRADESH,67.99
2708,ANDHRA PRADESH,63.53
2709,ANDHRA PRADESH,69.15
2710,ANDHRA PRADESH,67.88
2711,ANDHRA PRADESH,61.13
2712,ANDHRA PRADESH,64.28
2713,ANDHRA PRADESH,72.36
2701,KARNATAKA,73.94
2702,KARNATAKA,69.39
2703,KARNATAKA,67.2
2704,KARNATAKA,65.65
2705,KARNATAKA,71.01
2706,KARNATAKA,60.46
2707,KARNATAKA,67.28
2708,KARNATAKA,75.18
2709,KARNATAKA,80.3
2710,KARNATAKA,84.03
2711,KARNATAKA,77.6
2712,KARNATAKA,67.85
2713,KARNATAKA,73.82
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,